Taxon	Pathway	KOs present (%)	Species within present KOs (% all species in this taxon)	KOs total	Species total
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00790	25.9	34.52	54.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00760	18.0	50.0	89.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00730	39.4	69.23	33.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00830	0.0	0.0	48.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00770	45.9	52.94	37.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00780	30.4	64.29	23.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00785	0.0	0.0	4.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00750	13.0	77.78	23.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00130	5.4	16.67	56.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus	ko00740	11.9	40.0	42.0	6.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00790	13.0	57.14	54.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00760	12.4	79.55	89.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00730	39.4	63.46	33.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00830	0.0	0.0	48.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00770	40.5	55.0	37.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00780	21.7	45.0	23.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00785	0.0	0.0	4.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00750	17.4	62.5	23.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00130	3.6	37.5	56.0	4.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales	ko00740	11.9	40.0	42.0	4.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00790	35.2	52.63	54.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00760	21.3	55.74	89.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00730	42.4	57.63	33.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00830	2.1	4.55	48.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00770	48.6	58.59	37.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00780	52.2	61.74	23.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00785	75.0	65.15	4.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00750	39.1	57.83	23.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00130	32.1	30.18	56.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia	ko00740	28.6	44.32	42.0	44.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00790	20.4	31.82	54.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00760	19.1	42.16	89.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00730	27.3	66.67	33.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00830	0.0	0.0	48.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00770	45.9	46.08	37.0	6.0
