Taxon	Pathway	KOs present (%)	Species within present KOs (% all species in this taxon)	KOs total	Species total
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00130	3.6	100.0	56.0	1.0
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae	ko00740	2.4	100.0	42.0	1.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00790	24.1	75.57	54.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00760	15.7	71.43	89.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00730	39.4	69.23	33.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00830	2.1	11.76	48.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00770	37.8	78.57	37.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00780	52.2	73.04	23.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00785	75.0	76.47	4.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00750	39.1	61.44	23.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00130	10.7	79.41	56.0	17.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides	ko00740	23.8	49.41	42.0	17.0
k__Bacteria,p__Bacteroidetes	ko00790	42.6	43.64	54.0	187.0
k__Bacteria,p__Bacteroidetes	ko00760	32.6	35.37	89.0	187.0
k__Bacteria,p__Bacteroidetes	ko00730	48.5	51.0	33.0	187.0
k__Bacteria,p__Bacteroidetes	ko00830	10.4	5.35	48.0	187.0
k__Bacteria,p__Bacteroidetes	ko00770	64.9	46.03	37.0	187.0
k__Bacteria,p__Bacteroidetes	ko00780	56.5	55.53	23.0	187.0
k__Bacteria,p__Bacteroidetes	ko00785	75.0	65.6	4.0	187.0
k__Bacteria,p__Bacteroidetes	ko00750	39.1	52.53	23.0	187.0
k__Bacteria,p__Bacteroidetes	ko00130	41.1	33.62	56.0	187.0
k__Bacteria,p__Bacteroidetes	ko00740	38.1	32.05	42.0	187.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00790	29.6	61.9	54.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00760	23.6	48.98	89.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00730	45.5	69.52	33.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00830	4.2	35.71	48.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00770	43.2	70.24	37.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00780	56.5	60.81	23.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00785	75.0	57.14	4.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00750	26.1	44.44	23.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00130	28.6	50.0	56.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae	ko00740	19.0	69.64	42.0	21.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00790	31.5	57.6	54.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00760	23.6	50.0	89.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00730	48.5	65.62	33.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00830	4.2	37.5	48.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00770	43.2	72.14	37.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00780	56.5	62.5	23.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00785	75.0	54.17	4.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00750	26.1	45.83	23.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00130	32.1	46.99	56.0	24.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales	ko00740	19.0	69.27	42.0	24.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00790	53.7	61.02	54.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00760	30.3	69.46	89.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00730	48.5	78.22	33.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00830	6.2	65.66	48.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00770	56.8	77.99	37.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00780	56.5	84.38	23.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00785	75.0	84.09	4.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00750	34.8	84.47	23.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00130	41.1	75.1	56.0	264.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae	ko00740	35.7	69.8	42.0	264.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00790	20.4	31.82	54.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00760	19.1	42.16	89.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00730	27.3	66.67	33.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00830	0.0	0.0	48.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00770	45.9	46.08	37.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00780	17.4	62.5	23.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00785	25.0	50.0	4.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00750	17.4	29.17	23.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00130	8.9	16.67	56.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae	ko00740	14.3	33.33	42.0	6.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00790	57.4	55.4	54.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00760	40.4	50.08	89.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00730	54.5	67.72	33.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00830	6.2	53.27	48.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00770	56.8	74.31	37.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00780	56.5	82.39	23.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00785	75.0	82.32	4.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00750	34.8	83.09	23.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00130	41.1	69.92	56.0	428.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales	ko00740	40.5	58.12	42.0	428.0
k__Bacteria,p__Firmicutes	ko00790	51.9	36.49	54.0	889.0
k__Bacteria,p__Firmicutes	ko00760	48.3	20.84	89.0	889.0
k__Bacteria,p__Firmicutes	ko00730	69.7	43.15	33.0	889.0
k__Bacteria,p__Firmicutes	ko00830	6.2	27.15	48.0	889.0
k__Bacteria,p__Firmicutes	ko00770	64.9	47.64	37.0	889.0
k__Bacteria,p__Firmicutes	ko00780	69.6	36.0	23.0	889.0
k__Bacteria,p__Firmicutes	ko00785	75.0	40.76	4.0	889.0
k__Bacteria,p__Firmicutes	ko00750	34.8	41.47	23.0	889.0
k__Bacteria,p__Firmicutes	ko00130	48.2	18.8	56.0	889.0
k__Bacteria,p__Firmicutes	ko00740	40.5	28.3	42.0	889.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00790	42.6	23.9	54.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00760	24.7	33.95	89.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00730	48.5	43.57	33.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00830	6.2	28.34	48.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00770	54.1	42.8	37.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00780	34.8	49.32	23.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00785	50.0	40.45	4.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00750	26.1	39.28	23.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00130	25.0	16.15	56.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales	ko00740	31.0	24.96	42.0	314.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00790	51.9	38.65	54.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00760	34.8	28.62	89.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00730	63.6	46.81	33.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00830	6.2	32.61	48.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00770	64.9	47.65	37.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00780	65.2	39.44	23.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00785	75.0	44.15	4.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00750	30.4	48.55	23.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00130	42.9	24.32	56.0	687.0
k__Bacteria,p__Firmicutes,c__Bacilli	ko00740	40.5	29.55	42.0	687.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00790	0.0	0.0	54.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00760	0.0	0.0	89.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00730	0.0	0.0	33.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00830	0.0	0.0	48.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00770	0.0	0.0	37.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00780	0.0	0.0	23.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00785	0.0	0.0	4.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00750	0.0	0.0	23.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00130	0.0	0.0	56.0	1.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila	ko00740	0.0	0.0	42.0	1.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00790	44.4	34.17	54.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00760	42.7	24.89	89.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00730	63.6	49.67	33.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00830	6.2	8.75	48.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00770	59.5	53.02	37.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00780	52.2	43.53	23.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00785	75.0	30.17	4.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00750	30.4	44.13	23.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00130	39.3	11.05	56.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia	ko00740	19.0	51.82	42.0	179.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00790	44.4	32.89	54.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00760	41.6	25.24	89.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00730	63.6	48.36	33.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00830	6.2	6.81	48.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00770	59.5	52.53	37.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00780	52.2	42.84	23.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00785	75.0	23.47	4.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00750	26.1	51.53	23.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00130	37.5	11.94	56.0	142.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales	ko00740	19.0	49.65	42.0	142.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00790	35.2	52.63	54.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00760	21.3	55.74	89.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00730	42.4	57.63	33.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00830	2.1	4.55	48.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00770	48.6	58.59	37.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00780	52.2	61.74	23.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00785	75.0	65.15	4.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00750	39.1	57.83	23.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00130	32.1	30.18	56.0	44.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales	ko00740	28.6	44.32	42.0	44.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00790	25.9	64.29	54.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00760	15.7	73.81	89.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00730	42.4	90.48	33.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00830	2.1	33.33	48.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00770	40.5	82.22	37.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00780	39.1	70.37	23.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00785	0.0	0.0	4.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00750	26.1	61.11	23.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00130	1.8	33.33	56.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia	ko00740	11.9	46.67	42.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00790	0.0	0.0	54.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00760	0.0	0.0	89.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00730	0.0	0.0	33.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00830	0.0	0.0	48.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00770	0.0	0.0	37.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00780	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00785	0.0	0.0	4.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00750	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00130	0.0	0.0	56.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira	ko00740	0.0	0.0	42.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00790	0.0	0.0	54.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00760	0.0	0.0	89.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00730	0.0	0.0	33.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00830	0.0	0.0	48.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00770	0.0	0.0	37.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00780	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00785	0.0	0.0	4.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00750	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00130	0.0	0.0	56.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis	ko00740	0.0	0.0	42.0	0.0
